tic,time,open,high,low,close,volume,day
603825.SH,2022-07-01,17.22,17.32,16.97,17.12,45387.64,4
688365.SH,2022-07-01,9.25,9.41,9.0,9.08,21904.06,4
002193.SZ,2022-07-04,6.03,6.15,5.9,6.11,47300.37,0
002633.SZ,2022-07-04,9.25,9.48,9.13,9.27,17509.02,0
600243.SH,2022-07-04,4.38,4.38,4.26,4.28,87958.0,0
603825.SH,2022-07-04,17.24,17.27,16.7,17.1,66192.74,0
688365.SH,2022-07-04,9.2,9.2,8.92,9.01,16587.73,0
002193.SZ,2022-07-05,6.13,6.32,6.04,6.1,60250.22,1
002633.SZ,2022-07-05,9.26,9.33,8.88,8.96,17628.0,1
600243.SH,2022-07-05,4.3,4.3,4.16,4.2,119791.11,1
603825.SH,2022-07-05,17.11,17.25,16.8,16.99,46996.7,1
688365.SH,2022-07-05,9.07,9.07,8.75,8.83,15190.84,1
002193.SZ,2022-07-06,6.07,6.33,5.96,6.29,82735.71,2
002633.SZ,2022-07-06,8.88,9.09,8.86,9.04,12985.0,2
600243.SH,2022-07-06,4.18,4.25,4.13,4.18,88585.0,2
603825.SH,2022-07-06,17.0,17.08,16.52,16.66,44488.35,2
688365.SH,2022-07-06,8.86,9.0,8.69,8.82,14940.57,2
002193.SZ,2022-07-07,6.29,6.29,6.12,6.15,52945.34,3
002633.SZ,2022-07-07,9.1,9.35,8.92,9.08,13313.0,3
600243.SH,2022-07-07,4.19,4.23,4.16,4.22,73380.0,3
603825.SH,2022-07-07,16.64,17.27,16.58,17.07,47044.55,3
688365.SH,2022-07-07,8.93,8.94,8.74,8.78,12868.21,3
002193.SZ,2022-07-08,6.15,6.41,6.08,6.33,72214.1,4
002633.SZ,2022-07-08,9.09,9.52,9.09,9.35,25332.0,4
600243.SH,2022-07-08,4.23,4.28,4.2,4.26,94267.0,4
603825.SH,2022-07-08,17.01,17.52,16.99,17.36,65755.9,4
688365.SH,2022-07-08,8.78,9.44,8.78,9.16,30834.74,4
002193.SZ,2022-07-11,6.3,6.51,6.23,6.28,56578.47,0
002633.SZ,2022-07-11,9.36,9.6,9.16,9.6,34270.44,0
600243.SH,2022-07-11,4.26,4.26,4.14,4.18,82647.7,0
603825.SH,2022-07-11,17.48,17.55,17.02,17.2,52319.87,0
688365.SH,2022-07-11,9.25,9.3,9.02,9.12,16590.59,0
002193.SZ,2022-07-12,6.2,6.37,6.18,6.18,44710.62,1
002633.SZ,2022-07-12,9.55,9.55,9.29,9.4,21446.73,1
600243.SH,2022-07-12,4.19,4.48,4.13,4.36,232029.24,1
603825.SH,2022-07-12,17.16,17.3,16.78,16.88,37580.0,1
